old_url,old_title,old_type,old_language,old_inlinks,keep_candidate,new_url_candidate,match_confidence,priority_reason,manual_review_required
https://www.blancareal.com/property/3b-apartment-with-sea-views-estepona/,3B APARTMENT WITH SEA VIEWS ESTEPONA | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/new-build-property-los-pacos-fuengirola/,"Exclusive New-build Property in Los Pacos, Fuengirola | BlancaReal",property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/new-construction-villa-in-el-higueron/,NEW CONSTRUCTION VILLA IN EL HIGUERON | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/luxury-villa-at-the-heart-of-conde-de-urena/,LUXURY VILLA AT MALAGA CENTRE | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/semi-detached-villa-with-sea-view/,Semi-detached villa with sea view in Calahonda | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/new-construction-villa-in-el-higueron-2/,NEW CONSTRUCTION VILLA IN EL HIGUERON | BlancaReal,property,en,1,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/3-bedrooms-apartment-marbella-east/,3 BEDROOMS APARTMENT MARBELLA EAST | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/apartment-to-rent-mijas-costa/,"Flat for 4 people in El Chaparral, Mijas | BlancaReal",property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/viviendas-con-vistas-panoramicas-al-mar-y-al-golf-en-un-entorno-exclusivo/,"Exclusive Homes with Panoramic Sea and Golf Views in an Elevated, Peaceful Setting in Casares | BlancaReal",property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/refined-contemporary-living-between-nature-and-marbella/,Refined Contemporary Living Between Nature and Marbella | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/3-bedroom-semi-detached-panoramic-views-and-roof-terrace-malaga-centre/,3-bedroom semi-detached | Panoramic views and roof terrace | Malaga Centre,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/apartments-for-sale-mijas-costa/,NEW APARTMENTS CALA DE MIJAS COSTA DEL SOL | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/newly-built-flats-in-el-higueron-fuengirola/,"NEWLY BUILT APARTMENTS IN EL HIGUERON, FUENGIROLA | BlancaReal",property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/local-comercial-las-terrazas-de-miraflores/,COMMERCIAL PROPERTY OPPORTUNITY IN MIJAS COSTA | BlancaReal,property,en,1,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/cosy-flat-near-the-centre-of-fuengirola/,Cosy Flat Near The Centre Of Fuengirola | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/apartments-for-sale-eastern-costa-del-sol-with-sea-view/,APARTMENTS FOR SALE EASTERN COSTA DEL SOL WITH SEA VIEW | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/luxury-villa-in-mijas-costa-del-sol/,"LUXURY VILLA IN MIJAS, COSTA DEL SOL | BlancaReal",property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/newly-built-apartments-in-el-higueron-fuengirola/,"NEWLY BUILT APARTMENTS IN EL HIGUERON, FUENGIROLA | BlancaReal",property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/townhouse-in-las-lagunas-de-mijas/,TOWNHOUSE IN LAS LAGUNAS DE MIJAS | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/house-for-sale-mijas/,"3 VILLAS IN EL CHAPARRAL, MIJAS COSTA | BlancaReal",property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/2-and-3-bedrooms-apartments-stunning-views-benalmadena/,"2 AND 3 BEDROOMS APARTMENTS, STUNNING VIEWS BENALMADENA | BlancaReal",property,en,1,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/apartment-to-rent-in-cala-de-mijas/,Apartment for 4 people in Mijas Costa | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/2-bedrooms-apartment-fuengirola/,2 Bedrooms Apartment with Stunning Views in Fuengirola | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/an-intimate-collection-of-contemporary-sea-view-villas/,An Intimate Collection of Contemporary Sea-View Villas | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
https://www.blancareal.com/property/luxury-flat-with-sea-view-in-marbella/,LUXURY FLAT WITH SEA VIEW IN MARBELLA | BlancaReal,property,en,0,yes,,,Lower-priority keep candidate pending later review.,yes
