País,Clics,Impresiones,CTR,Posición
Bulgaria,1,252,0.4%,25.1
Túnez,1,215,0.47%,28.63
Región desconocida,1,198,0.51%,41.31
Kazajistán,1,180,0.56%,34.33
Kenia,1,175,0.57%,34.57
Bielorrusia,1,126,0.79%,41.12
China,1,120,0.83%,13.88
Guatemala,1,115,0.87%,25.53
Letonia,1,109,0.92%,26.65
Georgia,1,105,0.95%,30.08
Chipre,1,98,1.02%,24.72
Kuwait,1,81,1.23%,29.99
Bahréin,1,69,1.45%,29.49
Senegal,1,60,1.67%,25.38
Cuba,1,22,4.55%,12.45
Mauricio,1,22,4.55%,30.77
Burkina Faso,1,15,6.67%,22.33
Guernsey,1,13,7.69%,6.31
Australia,0,681,0%,31.16
Perú,0,596,0%,19.29
Egipto,0,554,0%,34.14
Arabia Saudí,0,489,0%,32.51
Iraq,0,377,0%,35.28
Israel,0,275,0%,26.39
Paraguay,0,188,0%,37.38
Uzbekistán,0,173,0%,42.7
Trinidad y Tobago,0,148,0%,47.29
Irán,0,147,0%,26.14
Bolivia,0,146,0%,25.03
Jamaica,0,139,0%,39.6
Nueva Zelanda,0,137,0%,27.68
Costa Rica,0,136,0%,19.1
Nepal,0,134,0%,37.46
Panamá,0,131,0%,28.04
Nigeria,0,128,0%,22.27
Albania,0,114,0%,28.22
Croacia,0,112,0%,17.15
Etiopía,0,100,0%,31.03
Azerbaiyán,0,96,0%,34.64
Omán,0,91,0%,29.2
Qatar,0,87,0%,25.2
Líbano,0,85,0%,27.01
Barbados,0,84,0%,42.06
Costa de Marfil,0,81,0%,25.84
Honduras,0,78,0%,27.6
El Salvador,0,75,0%,29.05
Palestina,0,73,0%,37.03
Bosnia y Herzegovina,0,64,0%,31.98
Seychelles,0,62,0%,26.02
Malta,0,60,0%,16.22
Armenia,0,60,0%,38.88
Camboya,0,57,0%,28.09
Eslovenia,0,54,0%,22.37
Siria,0,52,0%,35.67
Nicaragua,0,47,0%,29.38
Sri Lanka,0,47,0%,30.06
Ghana,0,45,0%,36.31
Kirguistán,0,42,0%,40.26
Macedonia del Norte,0,41,0%,25.05
Angola,0,38,0%,31.18
Islandia,0,36,0%,19.47
Bahamas,0,36,0%,33.06
Gabón,0,33,0%,33.45
Myanmar (Birmania),0,30,0%,42.97
República Democrática del Congo,0,27,0%,19.7
Congo,0,27,0%,40.07
Libia,0,25,0%,25.76
Benín,0,24,0%,12.21
Tanzania,0,24,0%,19.08
Montenegro,0,21,0%,15.52
Uganda,0,21,0%,24.76
Maldivas,0,20,0%,13.4
Guyana,0,20,0%,43.25
Camerún,0,19,0%,10.11
Isla de Man,0,19,0%,13.68
Surinam,0,18,0%,24.33
Mongolia,0,18,0%,32.11
Haití,0,16,0%,13.81
Togo,0,16,0%,23.5
Zimbabue,0,16,0%,37.31
Curazao,0,14,0%,13
Kosovo,0,14,0%,27.79
Belice,0,14,0%,28.29
Laos,0,14,0%,41.36
Santa Lucía,0,14,0%,46.57
Comoras,0,13,0%,1.69
Jersey,0,13,0%,13.08
Granada,0,13,0%,46.69
Macao,0,12,0%,19.67
Afganistán,0,12,0%,26.83
Islas Caimán,0,12,0%,35.67
Antigua y Barbuda,0,12,0%,35.92
Aruba,0,11,0%,23.45
San Martín,0,11,0%,25.82
Botsuana,0,11,0%,26.27
Cabo Verde,0,11,0%,28.64
Zambia,0,11,0%,42
Mónaco,0,10,0%,6.9
Mozambique,0,10,0%,17.5
San Marino,0,9,0%,9
San Martín,0,9,0%,21.44
Dominica,0,9,0%,24.33
Mauritania,0,8,0%,24
Namibia,0,8,0%,28.5
Brunéi,0,8,0%,33.88
Bermuda,0,8,0%,36.12
Islas Vírgenes Británicas,0,8,0%,38.12
Yemen,0,8,0%,38.25
Malí,0,8,0%,48.5
Guinea Ecuatorial,0,7,0%,5.86
Guadalupe,0,7,0%,17
Somalia,0,7,0%,40.71
San Cristóbal y Nieves,0,7,0%,57.71
Malaui,0,6,0%,22.17
Tayikistán,0,6,0%,23.67
Ruanda,0,6,0%,33.33
Liechtenstein,0,5,0%,21
Martinica,0,5,0%,23.6
Sahara Occidental,0,5,0%,39.4
Caribe Neerlandés,0,4,0%,5.5
San Bartolomé,0,4,0%,10.75
Sierra Leona,0,4,0%,16
Guinea,0,4,0%,16.5
Bután,0,4,0%,18.5
Reunión,0,4,0%,34.25
San Vicente y las Granadinas,0,4,0%,52.5
Gambia,0,4,0%,72.75
Chad,0,3,0%,4.33
Sudán del Sur,0,3,0%,6.67
Guam,0,3,0%,12.67
Islas Turcas y Caicos,0,3,0%,31.33
Fiyi,0,3,0%,36.33
Micronesia,0,2,0%,1.5
Islas Vírgenes de los Estados Unidos,0,2,0%,3
Anguila,0,2,0%,6.5
Guayana Francesa,0,2,0%,36.5
Suazilandia,0,2,0%,47.5
Burundi,0,2,0%,55
Liberia,0,1,0%,1
Montserrat,0,1,0%,1
Níger,0,1,0%,1
Nueva Caledonia,0,1,0%,7
Islas Feroe,0,1,0%,8
Guinea-Bissau,0,1,0%,9
Polinesia Francesa,0,1,0%,9
Turkmenistán,0,1,0%,9
Yibuti,0,1,0%,18
Mayotte,0,1,0%,44
Papúa Nueva Guinea,0,1,0%,50
