old_url,clicks,impressions,ctr,position,redirect_target,redirect_status,migration_priority,notes
https://www.blancareal.com/es/propiedad/pisos-en-mijas/,52,4977,1.04%,29.46,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/fr/qui-paie-les-frais-de-commission-immobiliere-en-espagne/,51,3779,1.35%,9.84,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://condesahills.blancareal.com/en/,47,978,4.81%,21.16,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/our-developments/,46,2119,2.17%,7.6,https://blancareal.com/en/projects/,section_fallback,critical,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/it/faq/in-spagna-la-commissione-dellagenzia-immobiliare-e-inclusa-nel-prezzo-di-vendita/,40,1310,3.05%,12.63,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://condesahills.blancareal.com/es/,40,541,7.39%,7.62,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/casas-venta-mijas-costa/,38,3191,1.19%,20.53,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/local-comercial-las-terrazas-de-miraflores/,38,1936,1.96%,10.63,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/it/,37,258,14.34%,19.45,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/fr/,33,14540,0.23%,50.13,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/almitak-wohnungen-und-penthaeuser-neubau-costa-del-sol-spanien/,33,1485,2.22%,26.34,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/off-plan-properties-for-sale-fuengirola/,32,4998,0.64%,31.07,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/villas-de-nueva-construccion-con-vistas-al-mar-en-manilva/,32,4447,0.72%,32.03,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/begrip-van-commissiekosten-en-verantwoordelijkheden-in-spanje/,32,2608,1.23%,8.23,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/about-us/,30,1507,1.99%,8.83,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/new-houses-for-sale-in-fuengirola/,30,613,4.89%,17.16,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/apartments-for-sale-1-2-or-3-beds-with-sea-views-mijas/,29,5356,0.54%,31.01,https://blancareal.com/en/properties/,section_fallback,critical,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/how-can-i-legally-rent-my-property-to-tourists-in-andalusia/,28,4245,0.66%,14.65,https://blancareal.com/en/post/rent-your-home-to-tourists-andalucia/,exact_or_strong_match,critical,Found in Paginas.csv. Current redirect plan points to a direct or strong equivalent.
https://www.blancareal.com/trade-war-us-costa-del-sol-europe-international/,28,2872,0.97%,8.49,https://blancareal.com/en/posts/,section_fallback,critical,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/fr/propriete/maisons-a-vendre-fuengirola-espagne/,26,3831,0.68%,25.43,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/exclusivas-villas-de-lujo-con-vistas-al-mar-en-mijas/,26,2799,0.93%,21.94,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://blancahills.blancareal.com/,26,2535,1.03%,9.51,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-en-mijas-3-habitaciones/,24,1480,1.62%,11.66,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/houses-sale-fuengirola-blanca-hills/,24,503,4.77%,8.11,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/contacto/,23,2361,0.97%,7.16,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/piso-de-3-dormitorios-en-estepona/,20,5815,0.34%,14.66,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/apartamentos-obra-nueva-benalmadena/balcones-del-pinillo/,20,77,25.97%,5.29,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/legal-information-on-illegal-occupation-in-spain/,18,3720,0.48%,9.49,https://blancareal.com/en/post/legal-information-illegal-occupation-spain/,exact_or_strong_match,critical,Found in Paginas.csv. Current redirect plan points to a direct or strong equivalent.
https://www.blancareal.com/it/stile-case-in-vendita-spagna/,17,2972,0.57%,25.26,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/house-for-sale-mijas/,17,1828,0.93%,41.68,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/propiedad/nieuwbouw-appartementen-cancelada-estepona/,16,3147,0.51%,26.01,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/gastos-comprar-piso-en-malaga/,16,3040,0.53%,16.94,https://blancareal.com/es/post/impuestos-pagar-propiedad-costa-del-sol/,exact_or_strong_match,critical,Found in Paginas.csv. Current redirect plan points to a direct or strong equivalent.
https://www.blancareal.com/es/dorronsoro-los-arquitectos-detras-de-calahonda-sunset/,16,1093,1.46%,11.5,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/it/proprieta/appartamento-di-lusso-con-vista-mare-a-marbella/,15,2994,0.5%,16.53,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/stil-immobilien-spanien/,14,1351,1.04%,23.52,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-de-obra-nueva-en-cancelada-estepona-3/,14,1046,1.34%,19.78,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/it/faqs/,13,2780,0.47%,14.14,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-en-venta-2-3-dormitorios-con-vistas-al-mar-cerca-de-sotogrande/,13,1492,0.87%,11.96,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/it/proprieta/case-in-vendita-spagna-andalusia/,13,1093,1.19%,16.19,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-nueva-construccion-el-higueron-fuengirola/,12,1320,0.91%,21.84,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/propiedad/luxe-nieuwbouw-villa-in-el-higueron-fuengirola-costa-del-sol/,9,3237,0.28%,20.04,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/wohnungen-zum-verkauf-mit-1-2-oder-3-schlafzimmern-und-meerblick/,9,1277,0.7%,28.64,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/houses-for-sale-fuengirola/,8,2750,0.29%,45.9,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/fr/propriete/appartements-a-vendre-1-2-ou-3-chambres-avec-vue-sur-la-mer-costa-del-sol/,8,1701,0.47%,27.27,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-de-lujo-nueva-construccion-en-el-higueron/,8,1008,0.79%,34.23,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/piso-de-obra-nueva-en-la-cala-golf-mijas/,7,1065,0.66%,26.2,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/apartamento-alquiler-vacacional-cerca-de-la-playa-mijas-costa/,6,3535,0.17%,48.16,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/piso-de-lujo-con-vista-al-mar-en-marbella-2/,6,2983,0.2%,21.67,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/penthouses-with-sea-views-in-estepona/,5,3692,0.14%,39.94,https://blancareal.com/en/properties/,section_fallback,critical,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/property/plot-in-nueva-andalucia-with-project-marbella/,5,3191,0.16%,46.1,https://blancareal.com/en/projects/,section_fallback,critical,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/es/propiedad/pisos-en-venta-fuengirola/,5,1787,0.28%,46.62,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/casa-en-venta-en-marbella/,5,1032,0.48%,22.68,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/penthouse-with-private-pool-for-sale-in-estepona/,4,2081,0.19%,47.46,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-obra-nueva-estepona-costa-del-sol/,4,2038,0.2%,35,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/contacto/,4,1877,0.21%,15.87,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/villa-for-sale-in-marbella/,4,1863,0.21%,37.07,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/propiedad/nieuwbouwappartementen-in-fuengirola-costa-del-sol/,4,1065,0.38%,29.63,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-de-lujo-con-vistas-al-mar-en-ojen/,4,1024,0.39%,26.17,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/apartments-for-sale-eastern-costa-del-sol-with-sea-view/,3,2150,0.14%,24.88,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/luxuswohnungen-mit-meerblick-in-costa-del-sol/,3,1056,0.28%,36.64,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/solar-urbano-en-venta-torrox-malaga/,2,2950,0.07%,19.95,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/new-development-apartments-estepona-costa-del-sol/,2,2280,0.09%,64.09,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/newly-built-apartments-fuengirola-costa-del-sol/,2,1848,0.11%,60.59,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/porque-comprar-casa-con-agencia/,2,1671,0.12%,39.71,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/newly-built-apartments-in-el-higueron-fuengirola/,2,1113,0.18%,40.8,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/luxus-landhaus-kaufen-estepona/,1,1959,0.05%,42.12,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/spectacular-villa-for-sale-in-calahonda-costa-del-sol/,0,1359,0%,66.51,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/casa-en-venta-en-nagueles-marbella/,0,1130,0%,74.18,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/propiedad/nieuwbouw-penthouse-appartement-in-fuengirola-costa-del-sol/,0,1014,0%,35.55,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/propiedad/blanca-hills-nieuwe-woningvillas-in-torreblanca-fuengirola/,19,606,3.14%,37.02,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/propiedad/almitak-offplan-appartementen-en-penthouses-mijas-costa/,17,410,4.15%,25.03,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/agente/marcelo-navarro/,14,110,12.73%,17.92,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/newly-built-penthouse-apartment-in-el-higueron/,13,868,1.5%,22.13,https://blancareal.com/en/projects/,section_fallback,medium,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/it/riguardo-a-noi/,12,507,2.37%,16.39,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/fr/propriete/local-commercial-la-cala-de-mijas-centro/,12,159,7.55%,9.94,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/propiedad/penthouse-met-prive-zwembad-costa-del-sol/,11,792,1.39%,22.76,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/como-afectaran-los-aranceles-eeuu-mercado-inmobiliario-espana-costa-del-sol/,11,444,2.48%,15.05,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/hoe-kan-ik-mijn-woning-legaal-verhuren-aan-toeristen-in-andalusie/,10,853,1.17%,59.85,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/neu-gebaute-wohnungen-in-cancelada-estepona-3/,9,461,1.95%,18.12,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/busqueda-de-inmuebles/,8,967,0.83%,5.3,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/2-or-3-bedrooms-apartments-for-sale-with-sea-views-next-to-sotogrande/,8,667,1.2%,13.83,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/nueva-oficina-blancareal-en-puerto-de-la-torre-malaga/,8,644,1.24%,37.64,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/it/proprieta/appartamenti-di-nuova-costruzione-a-cancelada-estepona-3/,8,586,1.37%,17.53,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/2-schlafzimmer-penthouse-wohnung-in-el-higueron/,8,556,1.44%,15.96,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/piso-de-2-dormitorios-en-estepona/,8,443,1.81%,9.81,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/parcela-en-venta-en-mijas/,8,379,2.11%,16.83,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/neubau-wohnung-in-la-cala-golf-mijas/,8,370,2.16%,15.64,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/fr/qui-sommes-nous/,8,336,2.38%,50.4,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/nieuwbouw/,8,336,2.38%,31.66,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/semi-detached-villa-with-sea-view/,8,241,3.32%,30.11,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/fr/style-maisons-a-vendre-espagne/,7,701,1%,17.04,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property-search/,7,505,1.39%,6.12,https://blancareal.com/en/properties/,section_fallback,medium,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/home/,7,358,1.96%,5.21,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/wie-we-zijn/,7,347,2.02%,12.88,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/it/proprieta/terreno-in-nueva-andalucia-con-progetto-marbella/,7,271,2.58%,14.22,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/propiedad/condesa-hills-nieuwe-ontwikkeling-nabij-het-kasteel-van-fuengirola/,7,152,4.61%,20.49,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/quienes-somos-2/,7,151,4.64%,5.11,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/fr/propriete/nouvelle-construction-appartement-a-la-cala-golf-mijas/,7,139,5.04%,26.78,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/que-conlleva-obtener-hoy-el-certificado-a-en-viviendas/,6,741,0.81%,47.77,https://blancareal.com/es/posts/,section_fallback,medium,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/property/townhouse-with-sea-and-fuengirola-views-costa-del-sol/,6,738,0.81%,40.36,https://blancareal.com/en/properties/,section_fallback,medium,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/es/inicio-3/,6,406,1.48%,5.67,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/wohnungen-zu-verkaufen-2-3-schlafzimmer-mit-blick-manilva/,6,240,2.5%,27.42,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/wohnung-kaufen-rincon-de-la-victoria/,6,210,2.86%,39.68,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://condesahills.blancareal.com/wp-content/uploads/2024/09/plano-condesa-hills-tipo-2.pdf,6,104,5.77%,7.88,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/5-reasons-invest-costa-del-sol-given-instability-middle-east/,6,65,9.23%,3.97,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/wie-kann-ich-meine-immobilie-legal-an-touristen-in-andalusien-vermieten/,5,427,1.17%,9.98,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/over-ons/,5,276,1.81%,14.41,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/agente/blanca-real/,5,265,1.89%,7.23,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/fr/propriete/appartements-2-ou-3-chambres-avec-vue-mer-manilva/,5,250,2%,24.82,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/terreno-en-venta-mijas/,5,247,2.02%,13.38,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/neubau-penthouse-in-el-higueron/,5,212,2.36%,11.34,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/it/proprieta/casa-a-schiera-con-vista-panoramica-e-terrazza-a-malaga-centro/,5,209,2.39%,13.2,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/fr/inicio/,5,144,3.47%,28.99,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/local-comercial-las-terrazas-de-miraflores/,5,125,4%,24.41,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/ubicacion-ubicacion/manilva/,5,110,4.55%,8.66,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/contact/,4,856,0.47%,22.15,https://blancareal.com/en/contact/,exact_or_strong_match,medium,Found in Paginas.csv. Current redirect plan points to a direct or strong equivalent.
https://www.blancareal.com/it/come-affittare-legalmente-la-propria-casa-ai-turisti-in-andalusia/,4,311,1.29%,7.66,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/2-3-bedroom-apartments-sea-views-sotogrande/,4,265,1.51%,7.51,https://blancareal.com/en/properties/,section_fallback,medium,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/es/blancareal-y-resimo-experiencia-inmobiliaria-innovadora-en-costa-del-sol/,4,238,1.68%,14.38,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/it/dazi-eeuu-mercato-immobiliare-spagna-e-costa-del-sol/,4,221,1.81%,17.55,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/apartamentos-en-fuengirola/,4,178,2.25%,21.85,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/fr/louer-logement-touristique-andalousie/,4,178,2.25%,8.95,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/eigentum/haus-kaufen-nagueles-marbella/,4,127,3.15%,42.25,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-de-obra-nueva-en-cancelada-estepona-2/,4,86,4.65%,18.08,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/comercializacion-inmobiliaria-costa-del-sol/,4,75,5.33%,13.79,https://blancareal.com/es/commercialization/,exact_or_strong_match,medium,Found in Paginas.csv. Current redirect plan points to a direct or strong equivalent.
https://condesahills.blancareal.com/de/,4,56,7.14%,17.8,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/villas-de-lujo/,3,851,0.35%,18.68,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/aticos-de-lujo-de-nueva-construccion-en-el-higueron-fuengirola/,3,793,0.38%,57.13,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/alquileres/,3,750,0.4%,74.72,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-2-y-3-habitaciones-impresionantes-vistas-benalmadena/,3,571,0.53%,18.76,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/alquilar-mi-vivienda-para-turistas/,3,441,0.68%,18.94,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/de/inicio/,3,376,0.8%,38.56,,missing_redirect,medium,Found in Paginas.csv. No redirect is planned yet for this URL.
